date,product_id,sale_amount
2024-01-01,1006,28
2024-01-01,1068,34
2024-01-01,1032,24
2024-01-01,1117,29
2024-01-01,1006,34
2024-01-01,1071,31
2024-01-01,1114,17
2024-01-01,1118,15
2024-01-01,1045,19
2024-01-01,1079,31
2024-01-01,1065,25
2024-01-01,1058,20
2024-01-01,1050,22
2024-01-01,1008,27
2024-01-01,1108,30
2024-01-01,1040,35
2024-01-01,1074,19
2024-01-01,1057,16
2024-01-01,1074,18
2024-01-01,1054,20
2024-01-01,1022,33
2024-01-01,1084,31
2024-01-01,1057,34
2024-01-01,1019,35
2024-01-01,1084,20
2024-01-01,1082,29
2024-01-01,1005,19
2024-01-01,1045,32
2024-01-01,1060,18
2024-01-01,1036,27
2024-01-01,1065,15
2024-01-01,1038,26
2024-01-01,1083,24
2024-01-01,1090,28
2024-01-01,1046,31
2024-01-01,1087,34
2024-01-01,1021,24
2024-01-01,1100,19
2024-01-01,1053,17
2024-01-01,1106,18
2024-01-01,1037,17
2024-01-01,1077,26
2024-01-01,1059,22
2024-01-01,1002,20
2024-01-01,1073,35
2024-01-01,1040,26
2024-01-01,1077,22
2024-01-01,1076,24
2024-01-01,1118,33
2024-01-01,1077,18
2024-01-01,1014,24
2024-01-01,1057,26
2024-01-01,1103,29
2024-01-01,1103,20
2024-01-01,1061,34
2024-01-01,1099,32
2024-01-01,1038,27
2024-01-01,1081,18
2024-01-01,1051,32
2024-01-01,1047,19
2024-01-01,1103,22
2024-01-01,1110,20
2024-01-01,1022,18
2024-01-01,1097,22
2024-01-01,1028,21
2024-01-01,1105,18
2024-01-01,1116,20
2024-01-01,1024,15
2024-01-01,1045,20
2024-01-01,1066,32
2024-01-01,1100,19
2024-01-01,1119,20
2024-01-01,1105,16
2024-01-01,1045,27
2024-01-01,1089,26
2024-01-01,1005,27
2024-01-01,1063,19
2024-01-01,1105,17
2024-01-01,1035,28
2024-01-01,1080,25
2024-01-01,1118,15
2024-01-01,1060,35
2024-01-01,1083,23
2024-01-01,1048,22
2024-01-01,1103,21
2024-01-01,1097,31
2024-01-01,1096,20
2024-01-01,1087,31
2024-01-01,1080,23
2024-01-01,1088,25
2024-01-01,1041,20
2024-01-01,1092,35
